Job Position,Company,Location,Job Type,Posted Date,Key Skills,Salary
Senior Machine Learning Engineer,Consultant Desk,Remote,Full-time,PostedJust posted,Git,450361
Data Scientist /Senior Data Scientist,FiveExceptions Software Solutions,"Indore, Madhya Pradesh",Full-time,PostedPosted 12 days ago,Natural Language Processing,726938
Data Science Intern,Ecozen Solutions,"Pune, Maharashtra",Full-time,PostedPosted 17 days ago,AWS,866138
Practice Head - Data & Analytics,Technovert,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Data mining,677077
Data Scientist Intern,BharatX,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Data science,816957
"Data Scientist, AFFS",ADCI - Maharashtra,"Pune, Maharashtra",Full-time,PostedJust posted,Machine Learning,420936
Data Analyst,CAP-INDEX ENTERPRISES LLP,"Remote in Calicut, Kerala",Full-time,Employer Active 4 days ago,Power BI,769722
ML ENGINEER DATA SCIENTIST,Retentia technology private limited,"Hyderabad, Telangana",Full-time,Employer Active 14 days ago,Git,758783
Data Scientist,Sanofi US,"Hyderabad, Telangana",Permanent,PostedPosted 30+ days ago,Statistics,412046
Data Scientist_S,Nielsen,"Hybrid work in Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,Analytics,666341
Data Scientist,Xemplar Insights,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Power BI,596413
Urgent opening for Data Science Trainer,Nettech India,"Mumbai, Maharashtra",Full-time,PostedJust posted,Natural Language Processing,358728
Data Engineer,Millennium Management,"Bengaluru, Karnataka",Full-time,PostedPosted 7 days ago,GitLab,848105
Data Scientist Senior Kenvue,KPMG,"Mumbai, Maharashtra",Full-time,PostedPosted 11 days ago,Natural Language Processing,687868
Data Science AI-Intern,AS Global Soft Tech,"Kavundampalayam, Coimbatore, Tamil Nadu",Full-time,Employer Active 3 days ago,Ai,381972
Data Analyst Trainer,TechnoKraft Training and Solutions Pvt Ltd,"Remote in Nashik, Maharashtra",Full-time,Employer Active 3 days ago,SQL,326229
Analytics Engineer,MiQ Digital,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedJust posted,GitHub,835853
Artificial Intelligence Engineer - Machine Learning,SYBERGATE TECHNOLOGIES PVT LTD,"Ambattur, Chennai, Tamil Nadu",Full-time,Employer Active 18 days ago,SQL,505135
Machine Learning Engineer,Exponentia.ai,"Mumbai, Maharashtra",Full-time,PostedPosted 13 days ago,Data mining,845012
"Manager, Data Science & AI",Pfizer,"Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,Analytics,354382
Data Scientist,Simplyfyd Solutions,"Kharadi, Pune, Maharashtra",Full-time,Employer Active 12 days ago,AWS,877437
Senior Expert I Data Scientist,Novartis,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,PowerShell,528871
Associate Data Scientist,BOEING,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,PowerShell,675412
Data Scientist,Cimpress Technology,"Bengaluru, Karnataka",Full-time,PostedPosted 3 days ago,Machine Learning,902000
Data Scientist,Euphoric Thought Technologies Pvt Ltd,"Bengaluru, Karnataka",Full-time,Employer Active 4 days ago,A/B testing,626431
"Sr Engineer, Generative AI",Uber,"Hyderabad, Telangana",Full-time,PostedPosted 4 days ago,PowerShell,858384
Data Scientist,Euphoric Thought Technologies Pvt Ltd,"Bengaluru, Karnataka",Full-time,Employer Active 4 days ago,Machine Learning,660961
Intermediate Data Science Specialist,CDM Smith,"Bengaluru, Karnataka",Full-time,PostedPosted 1 day ago,A/B testing,766274
Deep Learning Internship (6 Months),CodersArts,"Noida, Uttar Pradesh",Full-time,PostedPosted 30+ days ago,PowerShell,762395
Data Scientist,Log9 Materials,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,PowerShell,904306
Machine Learning Engineer,Decision Management Solutions,"Hinjewadi, Pune, Maharashtra",Full-time,Employer Active 2 days ago,Azure,701518
Data Scientist,Bentley Systems,Orissa,Full-time,PostedPosted 30+ days ago,SQL,445769
Data Scientist,o9 Solutions,"Bengaluru, Karnataka",Full-time,PostedPosted 14 days ago,AWS,972945
Data Scientist Computer Vision,"ThreeV Technologies, Inc.",Remote,Full-time,PostedPosted 27 days ago,Data mining,326127
AI/ML Engineer (Remote),Onnica Pty Ltd,Remote,Full-time,Employer Active 5 days ago,Azure,372710
Data and Applied Scientist II,Microsoft,India,Full-time,PostedPosted 30+ days ago,Data mining,305000
Junior Data Scientist,Beckman Coulter Life Sciences,"Bengaluru, Karnataka",Full-time,PostedPosted 12 days ago,Natural Language Processing,670622
Data Science & AI ML Engineer,REIZEND PRIVATE LIMITED,"Thiruvananthapuram, Kerala",Full-time,Employer Active 4 days ago,Ai,315704
Decision Scientist,Premier International,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Data mining,895305
Data science intern,Shyena Tech Yarns Pvt Ltd,"Pune, Maharashtra",Full-time,Employer Active 4 days ago,GitHub,791239
Data Scientist,SearchUrCollege,"Noida, Uttar Pradesh",Full-time,PostedPosted 30+ days ago,Machine Learning,874897
Data scientist,Mazik Tech Solutions,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Natural Language Processing,809617
AI/ML Engineer,Technology Next,Remote,Full-time,Employer Active 3 days ago,Azure,390827
Data Scientist,UPS India,"Chennai, Tamil Nadu",Full-time,PostedPosted 30+ days ago,Python,821886
AI/ML Engineer,Samvridhi Shigra Pvt Ltd,Remote,Full-time,Employer Active 14 days ago,R,848035
AI / ML Engineer,Accenture,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,R,366558
Data Scientist,Suitable.ai,"Bengaluru, Karnataka",Full-time,Employer Active 21 days ago,Data Analysis,363758
Data Scientist / Business Intelligence Analyst,Xylem,"Vadodara, Gujarat",Full-time,PostedPosted 4 days ago,Natural Language Processing,800823
Data Scientist,DataCouch,"Mohali, Punjab",Full-time,PostedPosted 3 days ago,Data science,452129
Data Science Engineer 1,Emerson,"Remote in Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,SQL,820736
"IT Data Scientist, Staff",Qualcomm,"Hyderabad, Telangana",Full-time,PostedPosted 20 days ago,Data Analysis,949894
Data Scientist,AlfaLabs Technologies,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,GitHub,851052
ML Engineer-Triton,Gocool Inc,Remote,Full-time,Employer Active 2 days ago,Power BI,934272
Visual Analytics - Senior Specialist,Sanofi US,"Hyderabad, Telangana",Permanent,PostedPosted 13 days ago,SQL,764786
Python Machine Learning Intern,Evoort Solutions,"Nikol, Ahmedabad, Gujarat",Full-time,PostedPosted 30+ days ago,Data Analysis,850917
Data Scientist,UNPlus Solutions,"Bengaluru, Karnataka",Full-time,Employer Active 7 days ago,Analytics,994924
Lead Data Scientist,ILEARNINGENGINES INDIA PRIVATE LIMITED,"Technopark, Thiruvananthapuram, Kerala",Full-time,PostedJust posted,Natural Language Processing,829720
Senior Data Scientist,Javin Global,"Kolkata, West Bengal",Full-time,Employer Active 2 days ago,GitLab,957539
Data Analytics Intern,Reliance Games,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,SQL,330356
Data Scientist - AEP,Adobe,"Bengaluru, Karnataka",Full-time,PostedPosted 17 days ago,Python,593671
"Senior Data Scientist (Remote, India)",PulsePoint,"Remote in Navi Mumbai, Maharashtra",Full-time,PostedPosted 3 days ago,Azure,623169
Data Scientist - I (Prompt Engineer),Netomi,"Hybrid work in Gurugram, Haryana",Full-time,PostedPosted 6 days ago,GitHub,628654
Data Scientist,Rekruton Technologies,"Ahmedabad, Gujarat",Full-time,Employer Active 7 days ago,GitLab,828422
Manager- Digital Analytics,Novartis,"Hyderabad, Telangana",Full-time,PostedPosted 3 days ago,Python,926680
Senior Data Scientist,IIE Network,Remote,Full-time,PostedPosted 27 days ago,PowerShell,776114
Machine Learning Engineer,DeepEdge,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Analytics,470291
Data Scientist,Eoraa & Co.,"Delhi, Delhi",Full-time,PostedPosted 30+ days ago,R,570830
AI Developer,AST Consulting,"Noida, Uttar Pradesh",Full-time,Employer Active 4 days ago,A/B testing,901521
Data Scientist,Gray Matter,"Bengaluru, Karnataka",Permanent,PostedPosted 30+ days ago,A/B testing,554124
Senior Data Scientist-Retail Assets,IDFC FIRST Bank,"Mumbai, Maharashtra",Full-time,PostedPosted 19 days ago,R,997501
Advanced Data Science Associate Consultant,ZS,"Bengaluru, Karnataka",Permanent,PostedPosted 3 days ago,Ai,628407
Head of Data Analytics,SelFin India Financial Services,India,Full-time,PostedPosted 19 days ago,Machine Learning,785030
Data Scientist & Trainer,Blue Data Consulting,"Noida, Uttar Pradesh",Full-time,Employer Active 4 days ago,GitLab,961256
"Director, Data Science",LSEG (London Stock Exchange Group),"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Analytics,434682
"AI Engineer, India - BCG X",Boston Consulting Group,"Gurugram, Haryana",Full-time,PostedPosted 30+ days ago,Natural Language Processing,957117
Senior Data Scientist,Collinson,"Hybrid work in Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,R,804346
Analytics & Modeling Practitioner,Accenture,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Power BI,570421
Data Scientist - II,Netomi,"Hybrid work in Gurugram, Haryana",Full-time,PostedPosted 6 days ago,A/B testing,436518
"Manager, Data Scientist",Corpay,"Chennai, Tamil Nadu",Full-time,PostedPosted 26 days ago,Analytics,637220
Machine Learning Engineer,Mobile Programming India Pvt. Ltd.,Remote,Full-time,Employer Active 6 days ago,AWS,377742
Data Scientist,ekar,Remote,Full-time,PostedPosted 30+ days ago,Azure,695206
Data Scientist & AI Specialist,Phenomenal HR Pvt Ltd,"Kochi, Kerala",Full-time,Employer Active 2 days ago,Natural Language Processing,674712
Data Management and Insights Analytics Manager,GSK,"Bengaluru, Karnataka",Full-time,PostedPosted 14 days ago,Machine Learning,514417
Data Scientist - Computer vision,Valiance Analytics,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,PowerShell,918257
Data Scientist,Oracle,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Power BI,586131
Python/Data Science Intern - Patna(onsite),GeoTechnosoft,"Noida, Uttar Pradesh",Internship,PostedPosted 30+ days ago,GitLab,960288
"Data Analytics- Associate (SAS,SQL)",JPMorgan Chase & Co,"Goregaon East, Mumbai, Maharashtra",Full-time,PostedPosted 9 days ago,Power BI,661860
Data Science (Growth Markets) - Research Specialist,Accenture,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Data mining,712222
Analytics & AI,Infosys,"Kolkata, West Bengal",Full-time,PostedPosted 27 days ago,Python,929608
"Senior Associate, Customer Support Strategy and Analytics, Go-To-Market",Google,"Hyderabad, Telangana",Full-time,PostedPosted 14 days ago,Machine Learning,594272
Freelance Research Engineer (AI/ML Model Development Specialist),Guires Solutions Private Limited,Remote,Part-time,PostedJust posted,Data science,697912
Data Scientist,"Redaptive, Inc.","Pune, Maharashtra",Full-time,PostedPosted 20 days ago,Python,969367
Data Scientist- Lead,Salesforce,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,GitHub,308859
Data Science Trainer,Teks Academy,"Hyderabad, Telangana",Full-time,Employer Active 27 days ago,SQL,812413
Data Scientist,SAP,"Bengaluru, Karnataka",Full-time,PostedPosted 1 day ago,Natural Language Processing,448474
Data Scientist,Helius Technologies,India,Full-time,PostedPosted 30+ days ago,Data science,977980
Data & Machine Learning Engineer,Maersk,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,A/B testing,813355
Data Scientist,Data Collection Infotech,"Bengaluru, Karnataka",Full-time,PostedPosted 25 days ago,Data science,514158
Data and Analytics Manager,Henkel,"Navi Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,Natural Language Processing,571799
Data Scientist,TVH Parts,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Python,706844
Data Science Senior Analyst,PepsiCo,"Remote in Hyderabad, Telangana",Full-time,PostedPosted 26 days ago,Python,748362
Machine Learning Operations,Zallery,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,PowerShell,508261
Senior Associate Data Science L2,Publicis Sapient,"Gurugram, Haryana",Full-time,PostedPosted 12 days ago,SQL,947368
AI/ML Engineer,Samsung Electronics,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Natural Language Processing,624921
"Data Analytics- Associate (SAS,SQL)",JPMorgan Chase & Co,"Goregaon East, Mumbai, Maharashtra",Full-time,PostedPosted 9 days ago,Data science,374079
Advanced Data Science Associate Consultant,ZS,"Bengaluru, Karnataka",Permanent,PostedPosted 3 days ago,AWS,527977
Data Science Trainer,FACE Prep (Focus Academy For Career Enhancement),"Bengaluru, Karnataka",Full-time,Employer Active 4 days ago,PowerShell,372233
Data Scientist,UPS India,"Chennai, Tamil Nadu",Full-time,PostedPosted 30+ days ago,R,604066
Senior Data Scientist,Maersk,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Data mining,431606
Senior Data Scientist,Warner Bros. Discovery,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,GitLab,493073
Spec Analytics Analyst - C10 - BANGALORE,Citi,"Bengaluru, Karnataka",Full-time,PostedPosted 3 days ago,Ai,801029
AI/ML Engineer,Electronic Arts,"Hyderabad, Telangana",Full-time,PostedPosted 11 days ago,Data Analysis,830656
NLP Project Manager,objectways,"Coimbatore, Tamil Nadu",Full-time,Employer Active 2 days ago,Git,740834
Data Scientist (R-16646),Dun & Bradstreet,"Hybrid work in Chennai, Tamil Nadu",Full-time,PostedPosted 13 days ago,Data mining,807787
Data Scientist,SAP,"Bengaluru, Karnataka",Full-time,PostedPosted 1 day ago,Machine Learning,588697
Manager- Digital Analytics,Novartis,"Hyderabad, Telangana",Full-time,PostedPosted 3 days ago,PowerShell,818770
Data Scientist,SAP,"Bengaluru, Karnataka",Full-time,PostedPosted 1 day ago,PowerShell,963551
Manager - Data Scientist,CEAT,"Nagpur, Maharashtra",Full-time,PostedPosted 30+ days ago,PowerShell,410247
Data Analytics Infrastructure Lead Engineer,Qualcomm,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,GitLab,772870
Data Scientist,Log9 Materials,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Analytics,800838
Data Scientist,UNPlus Solutions,"Bengaluru, Karnataka",Full-time,Employer Active 7 days ago,R,370127
Junior Data Scientist,Beckman Coulter Life Sciences,"Bengaluru, Karnataka",Full-time,PostedPosted 12 days ago,Power BI,449457
Senior Data Scientist,Epsilon,"Bengaluru, Karnataka",Full-time,Employer Active 10 days ago,Data mining,435267
Machine Learning Engineer,Zazz,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Data mining,444323
Data Scientist,TVH Parts,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,AWS,976047
AI/ML Engineer,Maruti Suzuki India Ltd,"Gurugram, Haryana",Full-time,PostedPosted 30+ days ago,PowerShell,631722
"Applied Scientist II, Amazon",ADCI - Karnataka - A66,"Bengaluru, Karnataka",Full-time,PostedJust posted,PowerShell,541127
Freelance Research Engineer (AI/ML Model Development Specialist),Guires Solutions Private Limited,Remote,Part-time,PostedJust posted,PowerShell,312678
Data Scientist,Helius Technologies,India,Full-time,PostedPosted 30+ days ago,A/B testing,408326
Data and Analytics Manager,Henkel,"Navi Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,SQL,538534
Data Scientist,Netwin Infosolutions,"Nashik, Maharashtra",Full-time,PostedPosted 30+ days ago,Analytics,423501
Data Science/Analytics Engineer,SISL Infotech,India,Full-time,PostedPosted 30+ days ago,Analytics,846674
Manager_Lead Data Scientist,Vodafone,"Pune, Maharashtra",Full-time,PostedPosted 4 days ago,SQL,303965
Senior Data Scientist,Javin Global,"Pune, Maharashtra",Full-time,Employer Active 3 days ago,SQL,655780
Data Analyst,NexGen Tech Solutions,"Noida, Uttar Pradesh",Full-time,PostedPosted 10 days ago,Statistics,522588
Senior Engineer - Data Science,Altimetrik Corp,"Chennai, Tamil Nadu",Full-time,PostedPosted 30+ days ago,R,378551
Python/Data Science Intern - Patna(onsite),GeoTechnosoft,"Noida, Uttar Pradesh",Internship,PostedPosted 30+ days ago,PowerShell,582992
Machine Learning Engineer,OrangeShark,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Natural Language Processing,748962
Data Analyst,Fictiv,"Bengaluru, Karnataka",Full-time,PostedPosted 11 days ago,Machine Learning,794771
Analytics & AI,Infosys,"Kolkata, West Bengal",Full-time,PostedPosted 27 days ago,Natural Language Processing,527071
ML Engineer,Appzia Technologies,Remote,Full-time,Employer Active 2 days ago,PowerShell,479259
Data Scientist - 3 Years Experience(Immediate Joiner),Bizzhype HR,"Delhi, Delhi",Full-time,Employer Active 18 days ago,Data mining,967966
Data Scientist,E42,"Kalyani Nagar, Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Data mining,785118
AI/ML Engineer - Bangalore/Delhi,IntersoftKK,India,Full-time,PostedPosted 30+ days ago,Power BI,383494
AI/ML Engineers for AI Centre of Excellence,Indian Institute of Technology Hyderabad,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Natural Language Processing,341945
"Manager, Data Scientist",Corpay,"Chennai, Tamil Nadu",Full-time,PostedPosted 26 days ago,Analytics,869685
AI/ML Engineers for AI Centre of Excellence,Indian Institute of Technology Hyderabad,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Data science,963422
Director- Data Science,MetLife,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Power BI,740031
Data Analyst,VAYUZ Technologies Private Limited,"Greater Noida, Uttar Pradesh",Full-time,Employer Active 6 days ago,Natural Language Processing,313928
Data Scientist,"Redaptive, Inc.","Pune, Maharashtra",Full-time,PostedPosted 20 days ago,Data Analysis,344045
Data Scientist,Protocolzone,"Ahmedabad, Gujarat",Full-time,PostedPosted 30+ days ago,Machine Learning,655282
Data Scientist,Data Collection Infotech,"Bengaluru, Karnataka",Full-time,PostedPosted 25 days ago,Azure,540310
Senior Data Scientist,AHEAD,"Hybrid work in Gurugram, Haryana",Full-time,PostedPosted 30+ days ago,SQL,449916
ML Engineer,Horizon Corp,"Hyderabad, Telangana",Full-time,Employer Active 5 days ago,SQL,790465
Data Scientist,Procter & Gamble,"Mumbai, Maharashtra",Full-time,PostedPosted 7 days ago,Data science,456120
Senior Data Scientist,SBSC,Remote,Full-time,Employer Active 12 days ago,R,325159
Data Scientist - AEP,Adobe,"Bengaluru, Karnataka",Full-time,PostedPosted 17 days ago,Ai,491489
Data Analytics Intern,Reliance Games,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Natural Language Processing,707645
Data Scientist,Louis Dreyfus Company,"Bengaluru, Karnataka",Full-time,PostedPosted 14 days ago,Power BI,673687
Data Science Lead,Amnet Digital,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Statistics,580392
Data Scientist,Oracle,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,GitLab,786794
Data Scientist,Ayruz Data Marketing,Kerala,Full-time,PostedPosted 30+ days ago,PowerShell,351301
Data Scientist,Tata Insights and Quants,"Jamshedpur, Jharkhand",Full-time,PostedPosted 30+ days ago,Data Analysis,364356
Data Scientist,CRISIL,"Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,PowerShell,823577
Data Scientist - Hyderabad,Saaki Argus & Averil Consulting,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Analytics,600529
AI/ML Engineer - Part time,Kinoo,"Noida, Uttar Pradesh",Full-time,Employer Active 22 days ago,Data mining,357516
Data Scientist,quant jobs,"Chennai, Tamil Nadu",Full-time,PostedPosted 30+ days ago,R,825246
Data Scientist,Sun Life,"Gurugram, Haryana",Full-time,PostedPosted 15 days ago,Data mining,443082
Computer Vision ML Engineer,Apple,"Bengaluru, Karnataka",Full-time,PostedPosted 14 days ago,GitHub,721877
Senior Manager - Gen AI Business Analyst,PepsiCo,"Remote in Hyderabad, Telangana",Full-time,PostedJust posted,Statistics,605781
USI FY25 Audit Services|EH| Data Scientist - Senior,Deloitte,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,A/B testing,436879
"Principal Software Engineer,Machine Learning",Splunk,"Hyderabad, Telangana",Full-time,PostedPosted 12 days ago,PowerShell,999507
Data Scientist-Reinforcement,Saaki Argus & Averil Consulting,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,AWS,955952
Data Scientist,DataCouch Pvt. Ltd.,"Mohali, Punjab",Full-time,Employer Active 3 days ago,Azure,536334
Data Science Manager,Lam Research,"Remote in Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Machine Learning,926195
Jr. Data Scientist,The Nextup Solution,"Bengaluru, Karnataka",Full-time,Employer Active 4 days ago,Statistics,964389
Senior Data Scientist,ShyftLabs,"Noida, Uttar Pradesh",Full-time,PostedPosted 6 days ago,Azure,723347
Data Science Intern,Agileinfo Techytern Solutions LLP,"Thiruvananthapuram, Kerala",Full-time,Employer Active 2 days ago,Power BI,774218
Data Science Trainer,Cybrom Technology Pvt Ltd,"Bhopal, Madhya Pradesh",Full-time,Employer Active 2 days ago,SQL,613289
Data Analyst,Innovesi,"Chennai, Tamil Nadu",Full-time,Employer Active 7 days ago,Machine Learning,901356
Data Scientist,Travel Centric Technology,Goa,Permanent,PostedPosted 30+ days ago,SQL,468697
Senior Data Scientist,Dotcod Innovation Private Limited,"Bengaluru District, Karnataka",Full-time,Employer Active 2 days ago,SQL,307181
Senior Data Scientist,Nutanxt Technologies,"Remote in Hadapsar, Pune, Maharashtra",Full-time,Employer Active 12 days ago,Git,609150
Machine Learning Developer,Setoo Solutions Pvt. Ltd.,"Remote in Pune, Maharashtra",Full-time,Employer Active 7 days ago,AWS,588285
AI Utilization Expert,iZaG Pvt Ltd,"Makarba, Ahmedabad, Gujarat",Full-time,Employer Active 3 days ago,GitLab,663826
Data Scientist,Ciena,Haryana,Full-time,PostedPosted 30+ days ago,Ai,313343
Data Scientist,Webandcraft,"Thrissur, Kerala",Full-time,PostedPosted 30+ days ago,Python,744506
"Senior Manager, Data Science and AI",Pfizer,"Mumbai, Maharashtra",Full-time,PostedPosted 12 days ago,R,691382
AI Engineer,Evolv109,"Gurugram, Haryana",Full-time,Employer Active 4 days ago,Natural Language Processing,580902
Data Science Trainer,Datamites,"Coimbatore, Tamil Nadu",Full-time,PostedJust posted,PowerShell,365023
Specialist - Generative AI,Merck,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,A/B testing,764995
Data Science Trainer,Datamites,"Coimbatore, Tamil Nadu",Full-time,PostedJust posted,Python,410478
Senior Analyst Data Science,Novartis,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Data Analysis,350039
Data Scientist II,Honeywell,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Analytics,604141
Data Scientist,Redcliffe Labs,Uttar Pradesh,Full-time,PostedPosted 30+ days ago,Analytics,465850
Data Scientist,Qualys,"Pune, Maharashtra",Full-time,PostedPosted 11 days ago,Analytics,356521
Data Scientist,Global Payments,"Noida, Uttar Pradesh",Full-time,PostedPosted 30+ days ago,Analytics,603209
AI/ML Engineer,Datinfi Private Limited,"Coimbatore, Tamil Nadu",Full-time,Employer Active 2 days ago,GitLab,744522
Data Scientist (Tech Lead),Aera Technology,"Pune, Maharashtra",Full-time,PostedPosted 26 days ago,Git,970882
Senior Data Scientist (Hybrid),Kaplan,"Bengaluru, Karnataka",Full-time,PostedJust posted,A/B testing,767091
Data Scientist,Pivotchain Solution Technologies,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Power BI,556598
Senior/ Lead Data Scientist,Maruti Suzuki India Ltd,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,R,761124
Data Science - Pune,Mobile Programming LLC,"Pune, Maharashtra",Full-time,Employer Active 26 days ago,Python,554839
Data Scientist II,Honeywell,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedPosted 29 days ago,Data mining,543368
Data Scientist,Inheaden GmbH,"Bengaluru, Karnataka",Full-time,Employer Active 3 days ago,Machine Learning,550149
Principal Data Scientist,Fanatics Inc.,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Statistics,956429
Data Scientist,MX Technologies Inc.,"Hybrid work in Chennai, Tamil Nadu",Full-time,PostedPosted 14 days ago,Azure,356724
Analytics Solutions - Analyst,JPMorgan Chase & Co,"Varthur, Bengaluru, Karnataka",Full-time,PostedPosted 4 days ago,Azure,868443
Data Scientist,PradeepIT Consulting Services,"Bengaluru, Karnataka",Full-time,PostedPosted 1 day ago,Analytics,951356
Data Scientist - I,Netomi,"Hybrid work in Gurugram, Haryana",Full-time,PostedPosted 6 days ago,Statistics,605722
Machine Learning Intern,Geek Shastra Technologies,"Mansarovar, Jaipur, Rajasthan",Full-time,Employer Active 3 days ago,Data science,524787
Data Scientist,ace infoway,"Ahmedabad, Gujarat",Full-time,PostedPosted 30+ days ago,Power BI,631395
Lead Analytics Analyst / Data Scientist AFC,Deutsche Bank,"Bengaluru, Karnataka",Full-time,PostedPosted 21 days ago,AWS,352484
Senior Data science Engineer,MSCI Inc,"Mumbai, Maharashtra",Full-time,PostedPosted 15 days ago,A/B testing,325492
FTC - AI CoE,Larsen & Toubro,"Powai, Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,R,457277
Data Scientist,Allerin,"Navi Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,GitHub,944827
Data Science,Ellicium,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Natural Language Processing,741367
Senior Data Scientist - AI,GEP,"Airoli, Navi Mumbai, Maharashtra",Full-time,PostedPosted 19 days ago,Git,474359
AI/ML Engineer,Acelucid Technologies,"Dehradun, Uttarakhand",Full-time,PostedPosted 30+ days ago,Natural Language Processing,976819
Artificial Intelligence Trainer / Developer,RRC TECHNOLOGIES,"Thanjavur, Tamil Nadu",Full-time,Employer Active 2 days ago,R,991211
Principal Data Scientist- M365 Security Engineering,Microsoft,"Hyderabad, Telangana",Full-time,PostedPosted 8 days ago,GitHub,860043
Artificial Intelligence Trainer / Developer,RRC TECHNOLOGIES,"Thanjavur, Tamil Nadu",Full-time,Employer Active 2 days ago,GitLab,725522
Data Scientist,GfK,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Machine Learning,383496
Machine Learning Developer,Kore.ai,"Hyderabad, Telangana",Full-time,PostedPosted 19 days ago,Power BI,579150
Senior Machine Learning Engineer,GPS Global Business Services,Remote,Full-time,Employer Active 3 days ago,Data science,559474
Expert Data Science,Novartis,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Statistics,776196
Einstein Analytics,Amnet Digital,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,AWS,782086
Data Scientist,Employee Hub,"Jaipur, Rajasthan",Full-time,Employer Active 4 days ago,SQL,578015
Data Science Trainer,"GUVI Geek Networks, IITM Research Park",Remote,Full-time,Employer Active 8 days ago,Data science,357547
Data Scientist,SmartHelio,"Delhi, Delhi",Full-time,PostedPosted 30+ days ago,Ai,461888
Data Science Intern,Wahy Lab Solutions,"Kochi, Kerala",Full-time,Employer Active 2 days ago,A/B testing,919709
Data Scientist,MOLECULAR CONNECTIONS,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Power BI,625530
Associate Director Data Science,Novartis,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Analytics,999080
AWS Machine Learning and Operations Engineer,Chryselys,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Machine Learning,713316
